"";"FECHA";"CONSUMO"
"1";2020-01-01 00:00:00;100,05
"2";2020-01-01 01:00:00;92
"3";2020-01-01 02:00:00;102,35
"4";2020-01-01 03:00:00;98,32
"5";2020-01-01 04:00:00;102,93
"6";2020-01-01 05:00:00;101,78
"7";2020-01-01 06:00:00;100,06
"8";2020-01-01 07:00:00;97,18
"9";2020-01-01 08:00:00;104,07
"10";2020-01-01 09:00:00;110,4
"11";2020-01-01 10:00:00;120,18
"12";2020-01-01 11:00:00;126,49
"13";2020-01-01 12:00:00;124,18
"14";2020-01-01 13:00:00;121,9
"15";2020-01-01 14:00:00;124,76
"16";2020-01-01 15:00:00;124,19
"17";2020-01-01 16:00:00;124,2
"18";2020-01-01 17:00:00;123,04
"19";2020-01-01 18:00:00;118,44
"20";2020-01-01 19:00:00;108,11
"21";2020-01-01 20:00:00;108,67
"22";2020-01-01 21:00:00;112,13
"23";2020-01-01 22:00:00;96,6
"24";2020-01-01 23:00:00;100,62
"25";2020-01-02 00:00:00;102,93
"26";2020-01-02 01:00:00;96,6
"27";2020-01-02 02:00:00;104,08
"28";2020-01-02 03:00:00;97,74
"29";2020-01-02 04:00:00;98,33
"30";2020-01-02 05:00:00;102,93
"31";2020-01-02 06:00:00;105,8
"32";2020-01-02 07:00:00;373,17
"33";2020-01-02 08:00:00;518,08
"34";2020-01-02 09:00:00;538,2
"35";2020-01-02 10:00:00;539,35
"36";2020-01-02 11:00:00;525,54
"37";2020-01-02 12:00:00;537,63
"38";2020-01-02 13:00:00;544,53
"39";2020-01-02 14:00:00;560,06
"40";2020-01-02 15:00:00;569,25
"41";2020-01-02 16:00:00;568,68
"42";2020-01-02 17:00:00;502,55
"43";2020-01-02 18:00:00;374,89
"44";2020-01-02 19:00:00;351,89
"45";2020-01-02 20:00:00;285,78
"46";2020-01-02 21:00:00;108,67
"47";2020-01-02 22:00:00;92
"48";2020-01-02 23:00:00;74,75
"49";2020-01-03 00:00:00;96,61
"50";2020-01-03 01:00:00;87,97
"51";2020-01-03 02:00:00;97,18
"52";2020-01-03 03:00:00;89,13
"53";2020-01-03 04:00:00;94,3
"54";2020-01-03 05:00:00;97,19
"55";2020-01-03 06:00:00;100,07
"56";2020-01-03 07:00:00;281,75
"57";2020-01-03 08:00:00;425,5
"58";2020-01-03 09:00:00;398,47
"59";2020-01-03 10:00:00;397,33
"60";2020-01-03 11:00:00;427,21
"61";2020-01-03 12:00:00;426,64
"62";2020-01-03 13:00:00;419,16
"63";2020-01-03 14:00:00;552
"64";2020-01-03 15:00:00;565,22
"65";2020-01-03 16:00:00;557,17
"66";2020-01-03 17:00:00;538,79
"67";2020-01-03 18:00:00;399,04
"68";2020-01-03 19:00:00;334,64
"69";2020-01-03 20:00:00;273,13
"70";2020-01-03 21:00:00;107,52
"71";2020-01-03 22:00:00;94,88
"72";2020-01-03 23:00:00;98,34
"73";2020-01-04 00:00:00;93,15
"74";2020-01-04 01:00:00;86,25
"75";2020-01-04 02:00:00;97,18
"76";2020-01-04 03:00:00;92
"77";2020-01-04 04:00:00;98,33
"78";2020-01-04 05:00:00;95,46
"79";2020-01-04 06:00:00;97,18
"80";2020-01-04 07:00:00;109,26
